AZ,EL,R,AZ_rot,EL_rot,R_rot,X,Y,Z,X_rot,Y_rot,Z_rot,Weights
0,90,0.11,192.1756,74.16103,0.11,6.735557e-18,0,0.11,-0.02934748,-0.006332043,0.1058236,0.01551426
0,39.27554,0.11,356.3866,54.67518,0.11,0.08515216,0,0.06963555,0.06347678,-0.004008503,0.08974759,0.01551427
160.4141,11.37764,0.11,161.5203,-2.224439,0.11,-0.1015988,0.03614946,0.02170023,-0.1042493,0.03484036,-0.004269544,0.01574996
-137.9943,-32.58371,0.11,229.7075,-45.78161,0.11,-0.06887341,-0.06202629,-0.05923843,-0.04960982,-0.05851344,-0.07883555,0.01581426
-156.2829,-7.978985,0.11,205.1352,-23.44912,0.11,-0.09973468,-0.04381607,-0.01526909,-0.09135962,-0.04286447,-0.04377279,0.01604663
13.44041,-12.20866,0.11,13.85422,3.623457,0.11,0.1045677,0.02498949,-0.02326198,0.1065864,0.02628711,0.006951902,0.01490371
86.16218,64.79317,0.11,120.6424,64.37094,0.11,0.003135628,0.04674254,0.09952539,-0.02425037,0.04093595,0.09917746,0.01478788
147.0644,-18.12808,0.11,142.4179,-28.93535,0.11,-0.08773858,0.0568379,-0.03422564,-0.07629068,0.05871382,-0.05322047,0.01613335
67.13366,-33.66695,0.11,60.68858,-23.85048,0.11,0.0355748,0.08435557,-0.06098009,0.04925249,0.08772595,-0.04447864,0.01521427
135.8619,5.70251,0.11,136.5923,-3.256688,0.11,-0.07855228,0.07622385,0.01092997,-0.07978401,0.07546829,-0.006249026,0.01490373
-163.4705,37.01395,0.11,196.2885,21.22201,0.11,-0.08420394,-0.02498944,0.06622103,-0.09842451,-0.02875995,0.03981809,0.01490372
-13.73522,-61.85954,0.11,354.8593,-47.06204,0.11,0.05039623,-0.01231811,-0.09699734,0.07463127,-0.006714123,-0.08053009,0.01585757
56.55818,16.72717,0.11,61.76607,27.5328,0.11,0.05805483,0.08790509,0.03165962,0.0461445,0.08593687,0.0508482,0.01490397
